,Ticker,Shares
1,MSFT,151.50084100756388
2,AMZN,171.72595984713737
3,TSLA,351.89541477699873
4,GOOG,94.65553115647518
5,GOOGL,291.24179875230067
6,UNH,375.31139864350456
7,JNJ,121.67519144579978
8,XOM,102.67218740258818
9,JPM,86.27722972811682
10,META,207.7539850955663
11,V,59.59864390186352
12,PG,94.07478623386726
13,NVDA,113.36080478349157
14,HD,136.63747428479604
15,CVX,95.74118275780386
16,LLY,117.40437106206136
17,MA,104.01291489149996
18,ABBV,407.01814585881766
19,PFE,70.19497590856336
20,MRK,136.7131015560467
21,PEP,50.11111595276483
22,BAC,111.383298634516
23,KO,153.72887491519415
24,WMT,144.2387713337547
