AAPL,
MSFT,
AMZN,
TSLA,
GOOG,
GOOGL,
UNH,
JNJ,
XOM,
JPM,
META,
V,
PG,
NVDA,
HD,
CVX,
LLY,
MA,
ABBV,
PFE,
MRK,
PEP,
BAC,
KO,
WMT
