,Ticker,Shares
1,AAPL,68.29184162198936
2,MSFT,70.7061984705841
3,AMZN,232.80319540955065
4,TSLA,294.6503560506141
5,GOOG,111.2118524065537
6,GOOGL,240.0974144379063
7,UNH,263.50340810538717
8,JNJ,85.97447447028885
9,XOM,177.68844700297373
10,JPM,79.53496406119824
11,META,297.00766105140616
12,V,45.88053310572947
13,PG,56.47937452442975
14,NVDA,117.35524539150555
15,HD,264.33520554491713
16,CVX,110.32417756421324
17,LLY,101.59226609042068
18,MA,60.43151285627446
19,ABBV,558.2725594125254
20,PFE,118.58525071244365
21,MRK,159.85352751995958
22,PEP,45.486230077621954
23,BAC,51.98314126300615
24,KO,202.152989208299
25,WMT,189.95287517448222
